,RID,smiles
493,R0000001956,*c1cc(C2(c3cc(*)c(*)c(C)c3)c3ccccc3-c3ccccc32)cc(C)c1*
494,R0000001967,*c1cc(*)c(C)c(C)c1
495,R0000001969,*c1ccc(*)c(C)c1C
496,R0000001972,*C(C)(C)CCCCCCCCC(*)(C)C
497,R0000001976,*C1CC2CC1C1CCC(*)C21
498,R0000001998,*c1c(C)c(*)c2c(c1C)CCC2(C)C
499,R0000002018,*C12CC3CC(C1)C(C1C4CC5CC1CC(*)(C5)C4)C(C3)C2
500,R0000002019,*c1cc(C)c(*)c(*)c1*
501,R0000002041,*C1C2CCC(C2)C1C
502,R0000002043,*C1(*)CC2CC1C1C3CCC(C3)C21
503,R0000002048,*C(*)(CCCC)CCCC
504,R0000002049,*C(*)(CCCCC)CCCCC
505,R0000002059,*C=Cc1cccc(C=*)c1
506,R0000002107,*c1ccc(*)c2cc3ccccc3cc12
507,R0000002155,*c1cc2cccc3c(*)cc4cccc1c4c23
508,R0000002183,*c1ccc(C(=*)c2ccc(C(=*)c3ccc(*)cc3)cc2)cc1
509,R0000002194,*c1ccc(*)c2c(C)ccc(C)c12
510,R0000002195,*c1cc2ccc3ccccc3c2cc1*
511,R0000002201,*c1cc2c(cc1*)C(CCCCCC)(CCCCCC)c1cc(*)c(*)cc1-2
512,R0000002206,*C=Cc1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(C=*)ccc1-2
513,R0000002217,*C1(*)CCC1
514,R0000002242,*c1ccc(C#Cc2ccc(C#Cc3ccc(*)cc3)cc2)cc1
515,R0000002275,*CC(=*)C
516,R0000002286,*C(C)C=*
517,R0000002293,*C=Cc1cc(*)c(*)cc1*
518,R0000002294,*C=Cc1cc(C)c(*)cc1C
519,R0000002298,*c1cc(*)c(C=*)cc1*
520,R0000002299,*C#Cc1cc(*)c(*)cc1*
521,R0000002300,*C=Cc1ccc(C#Cc2cc(*)c(C#Cc3ccc(*)cc3)cc2*)cc1
522,R0000002301,*C#Cc1cc(*)c(C#Cc2c3ccccc3c(*)c3ccccc23)cc1*
523,R0000002302,*C#Cc1ccc(*)c(*)c1
524,R0000002303,*C#Cc1cc(*)c(C#Cc2ccc(*)c(*)c2)cc1*
525,R0000002310,*C#Cc1cc(*)c(C#Cc2ccc(*)cc2)cc1*
526,R0000002311,*C=Cc1ccc(*)c(*)c1*
527,R0000002312,*C#CC#Cc1ccc(*)cc1
528,R0000002318,*C=Cc1ccc(C#Cc2cc(*)c(C#Cc3ccc(C=*)cc3)cc2*)cc1
529,R0000002324,*C=C(c1ccc(*)cc1)c1ccc(*)cc1
530,R0000002326,*c1ccc2cc(C(=*)c3ccccc3)ccc2c1
531,R0000002329,*=Cc1cccc(C=*)c1
532,R0000002330,*C=Cc1ccc(*)c(*)c1
533,R0000002335,*C=Cc1cc(*)c(*)cc1C
534,R0000002338,*C#Cc1cc(*)c(C#Cc2ccc3c(*)c(*)ccc3c2)cc1*
535,R0000002343,*c1ccc(C2(*)c3ccccc3-c3ccccc32)cc1
536,R0000002345,*C1CC2CC1C1CCCC21
537,R0000002349,*CCCCCCC1(CCCCCC*)c2cc(*)ccc2-c2ccc(C=*)cc21
538,R0000002352,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1ccccc1-2
539,R0000002354,*c1cc(C=*)cc(C=*)c1
540,R0000002356,*C#Cc1cc(*)c(C#Cc2cc(*)c(*)cc2*)cc1*
541,R0000002362,*c1cc2cccccc-2c1*
542,R0000002364,*C=Cc1ccc(*)c2ccc(*)cc12
