,correction,RID,smiles
454,,R2108,*c1[nH]c(*)c(C)c1*
455,,R2109,*c1ccc2[nH]c3ccc(*)cc3c2c1
456,,R2118,*c1cc(*)c2cc(*)cnc2c1
457,,R2120,*c1cnc(*)c(C)c1
458,,R2121,*c1cc(C)c(*)cn1
459,,R2122,*c1ccc(*)c(C)n1
460,,R2123,*c1ccc(*)c(*)n1
461,,R2128,*c1[nH]c(*)c(*)c1*
462,,R2133,*c1nc2cc3nc(C=*)[nH]c3cc2[nH]1
463,,R2136,*c1ccc2cc(I)ccc2c1
464,,R2137,*c1ccc2cc(Br)ccc2c1
465,,R2138,*c1ccc(*)c(I)c1
466,,R2149,*c1nc2ccc(C)cc2s1
467,,R2150,*c1nc2cc3nc(*)n(*)c3cc2n1*
468,,R2151,*c1ccc(*)c(Cl)c1Cl
469,,R2152,*c1cc(Br)c(*)cc1Br
470,,R2153,*C=Cc1ccc(*)n1C
471,,R2154,*C=Cc1ccc(*)n1*
472,,R2156,*c1ccc2c(c1)c1cc(*)ccc1n2C=C
473,,R2160,*C#Cc1cc(*)c(C#Cc2ccc(*)nc2)cc1*
474,,R2166,*c1[nH]c(*)c2c1-c1ccc(*)c3c(*)ccc-2c13
475,,R2167,*c1[nH]c(*)c2c1-c1ccc(C)c3c(C)ccc-2c13
476,,R2168,*c1[nH]c(*)c2c1-c1ccc(Cl)c3c(Cl)ccc-2c13
477,,R2169,*c1[nH]c(*)c2c1-c1cccc3cccc-2c13
478,,R2171,*c1c2ccccc2c(*)n1C
479,,R2172,*c1ccc2ccc3ccc(*)nc3c2n1
480,,R2175,*c1cn(*)c2ccccc12
481,,R2176,*c1nc2c(*)ccc(*)c2nc1*
482,,R2185,*c1cc(F)c(*)cc1F
483,,R2186,*c1ccc(C=*)nc1
484,,R2187,*c1ccc2c(c1)nc(*)n2*
485,,R2190,*c1[nH]c(*)c2c1CCCCCCCCCC2
486,,R2191,*c1[nH]c(*)c2c1CCCC2
487,,R2192,*c1[nH]c(*)c2c1CCC2
488,,R2193,*c1[nH]c(*)c2c1CCCCC2
489,,R2199,*c1cn(*)cc1*
490,,R2200,*c1[nH]c2ccccc2c1*
491,,R2203,*c1[nH]c2ccc(Br)cc2c1*
492,,R2205,*C=Cc1cc2c(cc1*)c1cc(*)c(*)cc1n2*
493,,R2216,*c1cc(*)c2cccnc2c1
494,,R2219,*c1ccc2c(*)c(*)[nH]c2c1
