,rid,smiles,category
1008,R1000350,[*]CC([*])OC(=O)c1ccc(OC)cc1,known
1010,R1000351,[*]CC([*])OC(=O)c1ccccc1C,known
1017,R1000352,[*]CC([*])OC(=O)c1cccc(C)c1,known
1023,R1000353,[*]CC([*])OC(=O)c1ccc(C)cc1,known
1030,R1000354,[*]CC([*])OC(=O)CC(C)(C)c1ccccc1,known
1031,R1000355,[*]CC([*])OC(=O)C(C)(C)CCC,known
1032,R1000356,[*]CC([*])OC(=O)C(C)(C)C(C)(C)CC,known
1033,R1000357,[*]CC([*])OC(=O)C(C)(C)C(C)C(C)C,known
1034,R1000358,[*]CC([*])OC(=O)C(C)(C)CC(C)(C)C,known
1035,R1000359,[*]CC([*])OC(=O)c1cccnc1,known
1037,R1000360,[*]CC([*])OC(=O)c1ccc(-c2ccccc2)cc1,known
1038,R1000361,[*]CC([*])OC(=O)C(C)(C)C,known
1040,R1000362,[*]CC([*])OC(=O)c1ccc(OC(=O)CC)cc1,known
1041,R1000363,[*]CC([*])OC(=O)CCCC(=O)c1ccc(C)cc1,known
1042,R1000364,[*]CC([*])CCCc1ccccc1,known
1043,R1000365,[*]CC([*])C1=NC(C)(C)C(=O)O1,known
1045,R1000366,[*]CC([*])(C)C1=NC(C)(C)C(=O)O1,known
1046,R1000367,[*]C=C([*])c1ccccc1,known
1049,R1000368,[*]CC([*])OC(=O)CCC,known
1061,R1000369,[*]CC([*])OC(=O)CCCCCCC,known
1062,R1000370,[*]CC([*])OC(F)(C(F)(F)F)C(F)(F)F,known
1063,R1000371,[*]CC([*])OC(=O)CCl,known
1067,R1000372,[*]CC([*])c1cccs1,known
1071,R1000373,[*]CC([*])OCCCl,known
1073,R1000374,[*]CC([*])OCCOC,known
1075,R1000375,[*]CC([*])OCC(F)(F)F,known
1076,R1000376,[*]CC([*])(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,known
1077,R1000377,[*]CC([*])OC(=O)C1CCCC1,known
1078,R1000378,[*]CC([*])OC(=O)C1(C)CCCCC1,known
1079,R1000379,[*]CC([*])P(=O)(c1ccccc1)c1ccccc1,known
1080,R1000380,[*]CC([*])P(=O)(OCC)N(C)C,known
