,RID,smiles,fragment_fp,fragment_fp2
89,R0000002957,*CC(C#N)CCCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532030>,"[1, 9, 0]"
90,R0000002958,*SC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5320d0>,"[1, 4, 0]"
91,R0000002994,*CC(C#N)CC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532170>,"[1, 7, 0]"
92,R0000002995,*C(C)(C)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532210>,"[1, 6, 0]"
93,R0000003013,*CC(*)(*)C#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5322b0>,"[3, 7, 0]"
94,R0000003040,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532350>,"[4, 50, 10]"
95,R0000003041,*c1cc2c(cc1*)C1(c3cc4c(cc3-c3cc5c(cc31)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)c1cc3c(cc1-2)C(C)(C)CCC3(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5323f0>,"[4, 57, 10]"
96,R0000003044,*c1ccc2c(c1)Oc1c(C#N)c(*)c(*)c(C#N)c1O2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532490>,"[3, 21, 3]"
97,R0000003051,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532530>,"[4, 42, 9]"
98,R0000003052,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)C(C)(C)C5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5325d0>,"[4, 51, 10]"
99,R0000003053,*c1ccc2cc3c(cc2c1)C1(C)c2cc(*)c(*)cc2C3(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532670>,"[5, 43, 9]"
100,R0000003054,*c1cc(*)c2cc3c(cc2c1)C1(C)c2cc(*)c(*)cc2C3(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532710>,"[6, 44, 9]"
101,R0000003055,*c1cc2c(cc1*)C1(C)c3cc4c(cc3C2(C)c2cc3cc(C)c(C)cc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5327b0>,"[4, 44, 9]"
102,R0000003093,*c1ccc(C#N)cc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532850>,"[1, 10, 1]"
103,R0000003134,*=C(C#N)c1ccc([N+](=O)[O-])cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f5328f0>,"[1, 13, 1]"
104,R0000003203,*c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532990>,"[1, 20, 2]"
105,R0000003256,*O[Si](*)(C)CCC#N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532a30>,"[2, 9, 0]"
106,R0000003308,*c1ccc2cc(C#N)ccc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532ad0>,"[1, 13, 2]"
107,R0000003309,*=Cc1ccc(C#N)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7fbf3f532b70>,"[1, 10, 1]"
